data;empresa;categoria;tipo;descricao;valor
2030-01-31;Pousada da Ponte;Fixa;Administrativa;Contabilidade;400
2030-01-31;Pousada da Ponte;Fixa;Administrativa;Advocacia;500
2030-01-31;Pousada da Ponte;Fixa;Administrativa;Sistemas;55
2030-01-31;Pousada da Ponte;Fixa;Administrativa;Impostos;2016
2030-01-31;Pousada da Ponte;Fixa;Folha de Pagamento;Salário;3462
2030-01-31;Pousada da Ponte;Fixa;Folha de Pagamento;FGTS;226
2030-01-31;Pousada da Ponte;Fixa;Folha de Pagamento;INSS;219
2030-01-31;Pousada da Ponte;Variável;Folha de Pagamento;Diária;142
2030-01-31;Pousada da Ponte;Variável;Operacional;Combustível;1980
2030-01-31;Pousada da Ponte;Variável;Operacional;Aluguel Carro;1500
2030-01-31;Pousada da Ponte;Variável;Operacional;Manutenção;826
2030-01-31;Pousada da Ponte;Variável;CMV;Mercadoria;10548
2030-02-28;Pousada da Ponte;Fixa;Administrativa;Contabilidade;400
2030-02-28;Pousada da Ponte;Fixa;Administrativa;Advocacia;500
2030-02-28;Pousada da Ponte;Fixa;Administrativa;Sistemas;55
2030-02-28;Pousada da Ponte;Fixa;Administrativa;Impostos;2402
2030-02-28;Pousada da Ponte;Fixa;Folha de Pagamento;Salário;2053
2030-02-28;Pousada da Ponte;Fixa;Folha de Pagamento;FGTS;229
2030-02-28;Pousada da Ponte;Fixa;Folha de Pagamento;INSS;201
2030-02-28;Pousada da Ponte;Variável;Folha de Pagamento;Diária;137
2030-02-28;Pousada da Ponte;Variável;Operacional;Combustível;1517
2030-02-28;Pousada da Ponte;Variável;Operacional;Aluguel Carro;1500
2030-02-28;Pousada da Ponte;Variável;Operacional;Manutenção;873
2030-02-28;Pousada da Ponte;Variável;CMV;Mercadoria;12951
2030-03-31;Pousada da Ponte;Fixa;Administrativa;Contabilidade;400
2030-03-31;Pousada da Ponte;Fixa;Administrativa;Advocacia;500
2030-03-31;Pousada da Ponte;Fixa;Administrativa;Sistemas;55
