data;empresa;servico;cmv;valor
2030-01-01;MH Refeições;Grupo Tamburi;1;633
2030-01-01;MH Refeições;Vantage;1;120
2030-01-01;MH Refeições;Rondon R/R;1;0
2030-01-01;MH Refeições;Elisa Agro;1;408
2030-01-02;MH Refeições;Grupo Tamburi;1;633
2030-01-02;MH Refeições;Vantage;1;120
2030-01-02;MH Refeições;Rondon R/R;1;0
2030-01-02;MH Refeições;Elisa Agro;1;288
2030-01-03;MH Refeições;Grupo Tamburi;1;554
2030-01-03;MH Refeições;Vantage;1;120
2030-01-03;MH Refeições;Rondon R/R;1;0
2030-01-03;MH Refeições;Elisa Agro;1;432
2030-01-04;MH Refeições;Grupo Tamburi;1;660
2030-01-04;MH Refeições;Vantage;1;120
2030-01-04;MH Refeições;Rondon R/R;1;0
2030-01-04;MH Refeições;Elisa Agro;1;288
2030-01-05;MH Refeições;Grupo Tamburi;1;712
2030-01-05;MH Refeições;Vantage;1;120
2030-01-05;MH Refeições;Rondon R/R;1;0
2030-01-05;MH Refeições;Elisa Agro;1;264
2030-01-06;MH Refeições;Grupo Tamburi;1;765
2030-01-06;MH Refeições;Vantage;1;150
2030-01-06;MH Refeições;Rondon R/R;1;24
2030-01-06;MH Refeições;Elisa Agro;1;312
2030-01-07;MH Refeições;Grupo Tamburi;1;686
2030-01-07;MH Refeições;Vantage;1;150
2030-01-07;MH Refeições;Rondon R/R;1;0
2030-01-07;MH Refeições;Elisa Agro;1;408
2030-01-08;MH Refeições;Grupo Tamburi;1;607
2030-01-08;MH Refeições;Vantage;1;120
2030-01-08;MH Refeições;Rondon R/R;1;0
2030-01-08;MH Refeições;Elisa Agro;1;312
2030-01-09;MH Refeições;Grupo Tamburi;1;712
2030-01-09;MH Refeições;Vantage;1;150
2030-01-09;MH Refeições;Rondon R/R;1;0
2030-01-09;MH Refeições;Elisa Agro;1;432
2030-01-10;MH Refeições;Grupo Tamburi;1;554
2030-01-10;MH Refeições;Vantage;1;150
2030-01-10;MH Refeições;Rondon R/R;1;24
2030-01-10;MH Refeições;Elisa Agro;1;288
2030-01-11;MH Refeições;Grupo Tamburi;1;633
2030-01-11;MH Refeições;Vantage;1;120
2030-01-11;MH Refeições;Rondon R/R;1;24
2030-01-11;MH Refeições;Elisa Agro;1;384
2030-01-12;MH Refeições;Grupo Tamburi;1;739
2030-01-12;MH Refeições;Vantage;1;120
2030-01-12;MH Refeições;Rondon R/R;1;24
2030-01-12;MH Refeições;Elisa Agro;1;360
2030-01-13;MH Refeições;Grupo Tamburi;1;633
2030-01-13;MH Refeições;Vantage;1;120
2030-01-13;MH Refeições;Rondon R/R;1;0
2030-01-13;MH Refeições;Elisa Agro;1;408
2030-01-14;MH Refeições;Grupo Tamburi;1;633
2030-01-14;MH Refeições;Vantage;1;150
2030-01-14;MH Refeições;Rondon R/R;1;24
2030-01-14;MH Refeições;Elisa Agro;1;240
2030-01-15;MH Refeições;Grupo Tamburi;1;554
2030-01-15;MH Refeições;Vantage;1;150
2030-01-15;MH Refeições;Rondon R/R;1;0
2030-01-15;MH Refeições;Elisa Agro;1;384
2030-01-16;MH Refeições;Grupo Tamburi;1;712
2030-01-16;MH Refeições;Vantage;1;150
2030-01-16;MH Refeições;Rondon R/R;1;0
2030-01-16;MH Refeições;Elisa Agro;1;360
2030-01-17;MH Refeições;Grupo Tamburi;1;554
2030-01-17;MH Refeições;Vantage;1;120
2030-01-17;MH Refeições;Rondon R/R;1;24
2030-01-17;MH Refeições;Elisa Agro;1;384
2030-01-18;MH Refeições;Grupo Tamburi;1;660
2030-01-18;MH Refeições;Vantage;1;120
2030-01-18;MH Refeições;Rondon R/R;1;0
2030-01-18;MH Refeições;Elisa Agro;1;456
2030-01-19;MH Refeições;Grupo Tamburi;1;765
2030-01-19;MH Refeições;Vantage;1;120
2030-01-19;MH Refeições;Rondon R/R;1;0
2030-01-19;MH Refeições;Elisa Agro;1;264
2030-01-20;MH Refeições;Grupo Tamburi;1;686
2030-01-20;MH Refeições;Vantage;1;120
2030-01-20;MH Refeições;Rondon R/R;1;0
2030-01-20;MH Refeições;Elisa Agro;1;360
2030-01-21;MH Refeições;Grupo Tamburi;1;607
2030-01-21;MH Refeições;Vantage;1;120
2030-01-21;MH Refeições;Rondon R/R;1;24
2030-01-21;MH Refeições;Elisa Agro;1;240
2030-01-22;MH Refeições;Grupo Tamburi;1;633
2030-01-22;MH Refeições;Vantage;1;120
2030-01-22;MH Refeições;Rondon R/R;1;0
2030-01-22;MH Refeições;Elisa Agro;1;240
2030-01-23;MH Refeições;Grupo Tamburi;1;554
2030-01-23;MH Refeições;Vantage;1;150
2030-01-23;MH Refeições;Rondon R/R;1;24
2030-01-23;MH Refeições;Elisa Agro;1;384
2030-01-24;MH Refeições;Grupo Tamburi;1;660
2030-01-24;MH Refeições;Vantage;1;150
2030-01-24;MH Refeições;Rondon R/R;1;0
2030-01-24;MH Refeições;Elisa Agro;1;408
2030-01-25;MH Refeições;Grupo Tamburi;1;739
2030-01-25;MH Refeições;Vantage;1;120
2030-01-25;MH Refeições;Rondon R/R;1;24
2030-01-25;MH Refeições;Elisa Agro;1;432
2030-01-26;MH Refeições;Grupo Tamburi;1;660
2030-01-26;MH Refeições;Vantage;1;150
2030-01-26;MH Refeições;Rondon R/R;1;24
2030-01-26;MH Refeições;Elisa Agro;1;240
2030-01-27;MH Refeições;Grupo Tamburi;1;554
2030-01-27;MH Refeições;Vantage;1;120
2030-01-27;MH Refeições;Rondon R/R;1;0
2030-01-27;MH Refeições;Elisa Agro;1;408
2030-01-28;MH Refeições;Grupo Tamburi;1;765
2030-01-28;MH Refeições;Vantage;1;120
2030-01-28;MH Refeições;Rondon R/R;1;0
2030-01-28;MH Refeições;Elisa Agro;1;456
2030-01-29;MH Refeições;Grupo Tamburi;1;580
2030-01-29;MH Refeições;Vantage;1;120
2030-01-29;MH Refeições;Rondon R/R;1;24
2030-01-29;MH Refeições;Elisa Agro;1;336
2030-01-30;MH Refeições;Grupo Tamburi;1;554
2030-01-30;MH Refeições;Vantage;1;150
2030-01-30;MH Refeições;Rondon R/R;1;24
2030-01-30;MH Refeições;Elisa Agro;1;408
2030-01-31;MH Refeições;Grupo Tamburi;1;554
2030-01-31;MH Refeições;Vantage;1;150
2030-01-31;MH Refeições;Rondon R/R;1;0
2030-01-31;MH Refeições;Elisa Agro;1;312
2030-02-01;MH Refeições;Grupo Tamburi;1;743
2030-02-01;MH Refeições;Vantage;1;130
2030-02-01;MH Refeições;Rondon R/R;1;26
2030-02-01;MH Refeições;Elisa Agro;1;390
2030-02-02;MH Refeições;Grupo Tamburi;1;572
2030-02-02;MH Refeições;Vantage;1;162
2030-02-02;MH Refeições;Rondon R/R;1;26
2030-02-02;MH Refeições;Elisa Agro;1;286
2030-02-03;MH Refeições;Grupo Tamburi;1;715
2030-02-03;MH Refeições;Vantage;1;130
2030-02-03;MH Refeições;Rondon R/R;1;0
2030-02-03;MH Refeições;Elisa Agro;1;494
2030-02-04;MH Refeições;Grupo Tamburi;1;715
2030-02-04;MH Refeições;Vantage;1;162
2030-02-04;MH Refeições;Rondon R/R;1;0
2030-02-04;MH Refeições;Elisa Agro;1;338
2030-02-05;MH Refeições;Grupo Tamburi;1;600
2030-02-05;MH Refeições;Vantage;1;162
2030-02-05;MH Refeições;Rondon R/R;1;26
2030-02-05;MH Refeições;Elisa Agro;1;494
2030-02-06;MH Refeições;Grupo Tamburi;1;629
2030-02-06;MH Refeições;Vantage;1;162
2030-02-06;MH Refeições;Rondon R/R;1;0
2030-02-06;MH Refeições;Elisa Agro;1;286
2030-02-07;MH Refeições;Grupo Tamburi;1;743
2030-02-07;MH Refeições;Vantage;1;130
2030-02-07;MH Refeições;Rondon R/R;1;0
2030-02-07;MH Refeições;Elisa Agro;1;442
2030-02-08;MH Refeições;Grupo Tamburi;1;572
2030-02-08;MH Refeições;Vantage;1;130
2030-02-08;MH Refeições;Rondon R/R;1;26
2030-02-08;MH Refeições;Elisa Agro;1;390
2030-02-09;MH Refeições;Grupo Tamburi;1;572
2030-02-09;MH Refeições;Vantage;1;162
2030-02-09;MH Refeições;Rondon R/R;1;26
2030-02-09;MH Refeições;Elisa Agro;1;364
2030-02-10;MH Refeições;Grupo Tamburi;1;686
