data;empresa;servico;cmv;feriado;evento;obs;Tipo;qtd_hospedes;valor
2030-01-01;Pousada da Ponte;Hospedagem;0;1;0;FERIADO;Confraternização Universal;14;1320
2030-01-01;Pousada da Ponte;Frigobar;1;1;0;FERIADO;Confraternização Universal;0;768
2030-01-02;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;708
2030-01-02;Pousada da Ponte;Frigobar;1;0;0;-;-;0;55
2030-01-03;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;420
2030-01-03;Pousada da Ponte;Frigobar;1;0;0;-;-;0;39
2030-01-04;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;612
2030-01-04;Pousada da Ponte;Frigobar;1;0;0;-;-;0;57
2030-01-05;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;600
2030-01-05;Pousada da Ponte;Frigobar;1;0;0;-;-;0;34
2030-01-06;Pousada da Ponte;Hospedagem;0;0;0;-;-;12;1140
2030-01-06;Pousada da Ponte;Frigobar;1;0;0;-;-;0;26
2030-01-07;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;840
2030-01-07;Pousada da Ponte;Frigobar;1;0;0;-;-;0;50
2030-01-08;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;732
2030-01-08;Pousada da Ponte;Frigobar;1;0;0;-;-;0;45
2030-01-09;Pousada da Ponte;Hospedagem;0;0;0;-;-;10;948
2030-01-09;Pousada da Ponte;Frigobar;1;0;0;-;-;0;40
2030-01-10;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;384
2030-01-10;Pousada da Ponte;Frigobar;1;0;0;-;-;0;16
2030-01-11;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;540
2030-01-11;Pousada da Ponte;Frigobar;1;0;0;-;-;0;46
2030-01-12;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;372
2030-01-12;Pousada da Ponte;Frigobar;1;0;0;-;-;0;50
2030-01-13;Pousada da Ponte;Hospedagem;0;0;0;-;-;12;1140
2030-01-13;Pousada da Ponte;Frigobar;1;0;0;-;-;0;46
2030-01-14;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1032
2030-01-14;Pousada da Ponte;Frigobar;1;0;0;-;-;0;40
2030-01-15;Pousada da Ponte;Hospedagem;0;0;0;-;-;10;924
2030-01-15;Pousada da Ponte;Frigobar;1;0;0;-;-;0;45
2030-01-16;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;840
2030-01-16;Pousada da Ponte;Frigobar;1;0;0;-;-;0;50
2030-01-17;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;396
2030-01-17;Pousada da Ponte;Frigobar;1;0;0;-;-;0;37
2030-01-18;Pousada da Ponte;Hospedagem;0;0;0;-;-;5;492
2030-01-18;Pousada da Ponte;Frigobar;1;0;0;-;-;0;48
2030-01-19;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;648
2030-01-19;Pousada da Ponte;Frigobar;1;0;0;-;-;0;34
2030-01-20;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;360
2030-01-20;Pousada da Ponte;Frigobar;1;0;0;-;-;0;28
2030-01-21;Pousada da Ponte;Hospedagem;0;0;0;-;-;13;1176
2030-01-21;Pousada da Ponte;Frigobar;1;0;0;-;-;0;37
2030-01-22;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;408
2030-01-22;Pousada da Ponte;Frigobar;1;0;0;-;-;0;22
2030-01-23;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;888
2030-01-23;Pousada da Ponte;Frigobar;1;0;0;-;-;0;30
2030-01-24;Pousada da Ponte;Hospedagem;0;0;0;-;-;5;468
2030-01-24;Pousada da Ponte;Frigobar;1;0;0;-;-;0;14
2030-01-25;Pousada da Ponte;Hospedagem;0;0;0;-;-;10;936
2030-01-25;Pousada da Ponte;Frigobar;1;0;0;-;-;0;38
2030-01-26;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;780
2030-01-26;Pousada da Ponte;Frigobar;1;0;0;-;-;0;33
2030-01-27;Pousada da Ponte;Hospedagem;0;0;0;-;-;10;936
2030-01-27;Pousada da Ponte;Frigobar;1;0;0;-;-;0;25
2030-01-28;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1020
2030-01-28;Pousada da Ponte;Frigobar;1;0;0;-;-;0;45
2030-01-29;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;756
2030-01-29;Pousada da Ponte;Frigobar;1;0;0;-;-;0;31
2030-01-30;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;840
2030-01-30;Pousada da Ponte;Frigobar;1;0;0;-;-;0;28
2030-01-31;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;768
2030-01-31;Pousada da Ponte;Frigobar;1;0;0;-;-;0;54
2030-02-01;Pousada da Ponte;Hospedagem;0;0;0;-;-;12;1196
2030-02-01;Pousada da Ponte;Frigobar;1;0;0;-;-;0;61
2030-02-02;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;624
2030-02-02;Pousada da Ponte;Frigobar;1;0;0;-;-;0;55
2030-02-03;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;650
2030-02-03;Pousada da Ponte;Frigobar;1;0;0;-;-;0;63
2030-02-04;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1131
2030-02-04;Pousada da Ponte;Frigobar;1;0;0;-;-;0;35
2030-02-05;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;858
2030-02-05;Pousada da Ponte;Frigobar;1;0;0;-;-;0;58
2030-02-06;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;455
2030-02-06;Pousada da Ponte;Frigobar;1;0;0;-;-;0;33
2030-02-07;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;663
2030-02-07;Pousada da Ponte;Frigobar;1;0;0;-;-;0;54
2030-02-08;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;819
2030-02-08;Pousada da Ponte;Frigobar;1;0;0;-;-;0;45
2030-02-09;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;689
2030-02-09;Pousada da Ponte;Frigobar;1;0;0;-;-;0;16
2030-02-10;Pousada da Ponte;Hospedagem;0;0;0;-;-;5;559
2030-02-10;Pousada da Ponte;Frigobar;1;0;0;-;-;0;40
2030-02-11;Pousada da Ponte;Hospedagem;0;0;0;-;-;5;494
2030-02-11;Pousada da Ponte;Frigobar;1;0;0;-;-;0;16
2030-02-12;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;949
2030-02-12;Pousada da Ponte;Frigobar;1;0;0;-;-;0;42
2030-02-13;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;923
2030-02-13;Pousada da Ponte;Frigobar;1;0;0;-;-;0;62
2030-02-14;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;702
2030-02-14;Pousada da Ponte;Frigobar;1;0;0;-;-;0;13
2030-02-15;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;416
2030-02-15;Pousada da Ponte;Frigobar;1;0;0;-;-;0;55
2030-02-16;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;715
2030-02-16;Pousada da Ponte;Frigobar;1;0;0;-;-;0;45
2030-02-17;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;910
2030-02-17;Pousada da Ponte;Frigobar;1;0;0;-;-;0;61
2030-02-18;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1144
2030-02-18;Pousada da Ponte;Frigobar;1;0;0;-;-;0;61
2030-02-19;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;598
2030-02-19;Pousada da Ponte;Frigobar;1;0;0;-;-;0;48
2030-02-20;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;949
2030-02-20;Pousada da Ponte;Frigobar;1;0;0;-;-;0;39
2030-02-21;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;611
2030-02-21;Pousada da Ponte;Frigobar;1;0;0;-;-;0;44
2030-02-22;Pousada da Ponte;Hospedagem;0;0;0;-;-;12;1261
2030-02-22;Pousada da Ponte;Frigobar;1;0;0;-;-;0;28
2030-02-23;Pousada da Ponte;Hospedagem;0;0;0;-;-;5;507
2030-02-23;Pousada da Ponte;Frigobar;1;0;0;-;-;0;62
2030-02-24;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1105
2030-02-24;Pousada da Ponte;Frigobar;1;0;0;-;-;0;58
2030-02-25;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;455
2030-02-25;Pousada da Ponte;Frigobar;1;0;0;-;-;0;15
2030-02-26;Pousada da Ponte;Hospedagem;0;0;0;-;-;13;1287
2030-02-26;Pousada da Ponte;Frigobar;1;0;0;-;-;0;63
2030-02-27;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1157
2030-02-27;Pousada da Ponte;Frigobar;1;0;0;-;-;0;28
2030-02-28;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;858
2030-02-28;Pousada da Ponte;Frigobar;1;0;0;-;-;0;31
2030-03-01;Pousada da Ponte;Hospedagem;0;0;0;-;-;5;400
2030-03-01;Pousada da Ponte;Frigobar;1;0;0;-;-;0;24
2030-03-02;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;890
2030-03-02;Pousada da Ponte;Frigobar;1;0;0;-;-;0;10
2030-03-03;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;890
2030-03-03;Pousada da Ponte;Frigobar;1;0;0;-;-;0;49
2030-03-04;Pousada da Ponte;Hospedagem;0;1;0;FERIADO;Carnaval;12;900
2030-03-04;Pousada da Ponte;Frigobar;1;1;0;FERIADO;Carnaval;0;410
2030-03-05;Pousada da Ponte;Hospedagem;0;1;0;FERIADO;Carnaval;8;630
2030-03-05;Pousada da Ponte;Frigobar;1;1;0;FERIADO;Carnaval;0;650
2030-03-06;Pousada da Ponte;Hospedagem;0;1;0;FERIADO;Quarta-feira de Cinzas;11;840
2030-03-06;Pousada da Ponte;Frigobar;1;1;0;FERIADO;Quarta-feira de Cinzas;0;410
2030-03-07;Pousada da Ponte;Hospedagem;0;0;0;-;-;12;910
