data;empresa;servico;cmv;feriado;evento;obs;Tipo;qtd_hospedes;valor
2030-01-01;Pousada da Ponte;Hospedagem;0;1;0;FERIADO;Confraternização Universal;12;1152
2030-01-01;Pousada da Ponte;Frigobar;1;1;0;FERIADO;Confraternização Universal;0;732
2030-01-02;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;804
2030-01-02;Pousada da Ponte;Frigobar;1;0;0;-;-;0;30
2030-01-03;Pousada da Ponte;Hospedagem;0;0;0;-;-;10;924
2030-01-03;Pousada da Ponte;Frigobar;1;0;0;-;-;0;38
2030-01-04;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;6;600
2030-01-04;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;30
2030-01-05;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;7;684
2030-01-05;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;54
2030-01-06;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;5;504
2030-01-06;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;57
2030-01-07;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;816
2030-01-07;Pousada da Ponte;Frigobar;1;0;0;-;-;0;54
2030-01-08;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;780
2030-01-08;Pousada da Ponte;Frigobar;1;0;0;-;-;0;16
2030-01-09;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;732
2030-01-09;Pousada da Ponte;Frigobar;1;0;0;-;-;0;19
2030-01-10;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;732
2030-01-10;Pousada da Ponte;Frigobar;1;0;0;-;-;0;45
2030-01-11;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;11;1044
2030-01-11;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;46
2030-01-12;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;6;540
2030-01-12;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;44
2030-01-13;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;6;540
2030-01-13;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;42
2030-01-14;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;372
2030-01-14;Pousada da Ponte;Frigobar;1;0;0;-;-;0;51
2030-01-15;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;720
2030-01-15;Pousada da Ponte;Frigobar;1;0;0;-;-;0;26
2030-01-16;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;840
2030-01-16;Pousada da Ponte;Frigobar;1;0;0;-;-;0;55
2030-01-17;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;660
2030-01-17;Pousada da Ponte;Frigobar;1;0;0;-;-;0;20
2030-01-18;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;6;576
2030-01-18;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;25
2030-01-19;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;11;1056
2030-01-19;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;40
2030-01-20;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;5;528
2030-01-20;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;43
2030-01-21;Pousada da Ponte;Hospedagem;0;0;0;-;-;13;1188
2030-01-21;Pousada da Ponte;Frigobar;1;0;0;-;-;0;30
2030-01-22;Pousada da Ponte;Hospedagem;0;0;0;-;-;5;516
2030-01-22;Pousada da Ponte;Frigobar;1;0;0;-;-;0;43
2030-01-23;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;384
2030-01-23;Pousada da Ponte;Frigobar;1;0;0;-;-;0;40
2030-01-24;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;696
2030-01-24;Pousada da Ponte;Frigobar;1;0;0;-;-;0;52
2030-01-25;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;12;1128
2030-01-25;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;44
2030-01-26;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;4;372
2030-01-26;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;25
2030-01-27;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;10;900
2030-01-27;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;48
2030-01-28;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;636
2030-01-28;Pousada da Ponte;Frigobar;1;0;0;-;-;0;15
2030-01-29;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;876
2030-01-29;Pousada da Ponte;Frigobar;1;0;0;-;-;0;14
2030-01-30;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1008
2030-01-30;Pousada da Ponte;Frigobar;1;0;0;-;-;0;13
2030-01-31;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;744
2030-01-31;Pousada da Ponte;Frigobar;1;0;0;-;-;0;42
2030-02-01;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;7;767
2030-02-01;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;49
2030-02-02;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;10;975
2030-02-02;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;15
2030-02-03;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;12;1235
2030-02-03;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;13
2030-02-04;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1079
2030-02-04;Pousada da Ponte;Frigobar;1;0;0;-;-;0;46
2030-02-05;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1092
2030-02-05;Pousada da Ponte;Frigobar;1;0;0;-;-;0;28
2030-02-06;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;624
2030-02-06;Pousada da Ponte;Frigobar;1;0;0;-;-;0;32
2030-02-07;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;884
2030-02-07;Pousada da Ponte;Frigobar;1;0;0;-;-;0;27
2030-02-08;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;12;1196
2030-02-08;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;16
2030-02-09;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;4;455
2030-02-09;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;52
2030-02-10;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;4;403
2030-02-10;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;27
2030-02-11;Pousada da Ponte;Hospedagem;0;0;0;-;-;8;793
2030-02-11;Pousada da Ponte;Frigobar;1;0;0;-;-;0;40
2030-02-12;Pousada da Ponte;Hospedagem;0;0;0;-;-;12;1209
2030-02-12;Pousada da Ponte;Frigobar;1;0;0;-;-;0;42
2030-02-13;Pousada da Ponte;Hospedagem;0;0;0;-;-;9;923
2030-02-13;Pousada da Ponte;Frigobar;1;0;0;-;-;0;54
2030-02-14;Pousada da Ponte;Hospedagem;0;0;0;-;-;7;715
2030-02-14;Pousada da Ponte;Frigobar;1;0;0;-;-;0;14
2030-02-15;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;11;1092
2030-02-15;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;50
2030-02-16;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;7;702
2030-02-16;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;36
2030-02-17;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;8;793
2030-02-17;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;20
2030-02-18;Pousada da Ponte;Hospedagem;0;0;0;-;-;6;585
2030-02-18;Pousada da Ponte;Frigobar;1;0;0;-;-;0;54
2030-02-19;Pousada da Ponte;Hospedagem;0;0;0;-;-;4;455
2030-02-19;Pousada da Ponte;Frigobar;1;0;0;-;-;0;41
2030-02-20;Pousada da Ponte;Hospedagem;0;0;0;-;-;12;1248
2030-02-20;Pousada da Ponte;Frigobar;1;0;0;-;-;0;14
2030-02-21;Pousada da Ponte;Hospedagem;0;0;0;-;-;11;1131
2030-02-21;Pousada da Ponte;Frigobar;1;0;0;-;-;0;45
2030-02-22;Pousada da Ponte;Hospedagem;0;0;0;FDS;-;5;494
2030-02-22;Pousada da Ponte;Frigobar;1;0;0;FDS;-;0;48
